dataset,system,path,epochs,horiz_rms,horiz_mean,horiz_max,3d_rms,3d_mean,3d_max,used_sats_mean,used_sats_min,used_sats_max,pdop_mean,pdop_max,residual_rms_mean,residual_rms_max
bjfs_2026_117_gps,G,results/datasets/bjfs_2026_117_gps/results.csv,2880,1.658270145341389,1.3780466666666698,4.7581,4.253226055089352,3.517119687499997,10.1206,8.573958333333334,6.0,11.0,3.5958128472222213,5.38,0.5847940972222206,2.559
daej_2026_117_gps,G,results/datasets/daej_2026_117_gps/results.csv,2880,1.9483598643964566,1.4905846875000013,7.1219,3.9035362833251717,3.280231180555552,9.3082,8.357291666666667,6.0,11.0,3.6698517361111103,5.447,0.7548591666666683,9.2353
hksl_2026_117_gps,G,results/datasets/hksl_2026_117_gps/results.csv,2880,3.8950555829073203,3.3618055555555637,7.8643,5.264931978952156,4.6854092361111075,13.0054,8.93576388888889,7.0,11.0,3.6839840277777776,4.938,1.4887696527777803,5.8383
twtf_2026_117_gps_from_mixed,G,results/datasets/twtf_2026_117_gps_from_mixed/results.csv,2880,5.778918989278079,4.434197361111111,12.7055,6.597507351766878,5.53087805555556,14.5127,8.879861111111111,7.0,11.0,3.70061250000001,6.457,1.3655003125000031,5.9546
twtf_2026_117_bds,C,results/datasets/twtf_2026_117_bds/results.csv,2880,6.014581266936489,4.071975069444446,53.206,7.48750162679007,6.055221493055549,59.9868,7.48125,5.0,10.0,5.936010416666668,60.746,0.7773642361111093,3.4907
twtf_2026_117_gps_bds,"G,C",results/datasets/twtf_2026_117_gps_bds/results.csv,2880,5.346765300234496,3.978530416666665,11.6808,6.029386415353505,5.174517673611105,12.4108,16.36111111111111,13.0,21.0,2.8149777777777794,3.762,1.4628913194444442,5.0556
urban_nav_hk_medium_urban_1_bds_200,C,results/datasets/urban_nav_hk_medium_urban_1_bds/results.csv,197,621.6889875115312,592.2372467005076,824.3386,625.7053064764557,596.3879025380712,847.2413,8.802030456852792,4.0,13.0,6.020609137055834,20.635,10.516673096446699,42.3026
urban_nav_hk_medium_urban_1_gps_bds_200,"G,C",results/datasets/urban_nav_hk_medium_urban_1_gps_bds/results.csv,200,617.0688053011306,586.3897005,817.5166,620.0770643757535,590.1898960000001,817.6205,14.725,7.0,21.0,3.7483900000000028,9.545,20.528536000000013,61.9603
