id,station,year,doy,date,format,systems,obs_path,nav_path,result_dir,status
bjfs_2026_117_gps,BJFS,2026,117,2026-04-27,RINEX 2.11,G,data/datasets/bjfs_2026_117_gps/rinex/bjfs1170.26o,data/datasets/bjfs_2026_117_gps/rinex/brdc1170.26n,results/datasets/bjfs_2026_117_gps,full_gps_run_ok
daej_2026_117_gps,DAEJ,2026,117,2026-04-27,RINEX 2.11,G,data/datasets/daej_2026_117_gps/rinex/daej1170.26o,data/datasets/daej_2026_117_gps/rinex/brdc1170.26n,results/datasets/daej_2026_117_gps,full_gps_run_ok
hksl_2026_117_gps,HKSL,2026,117,2026-04-27,RINEX 2.11,G,data/datasets/hksl_2026_117_gps/rinex/hksl1170.26o,data/datasets/hksl_2026_117_gps/rinex/brdc1170.26n,results/datasets/hksl_2026_117_gps,full_gps_run_ok
twtf_2026_117_mixed,TWTF,2026,117,2026-04-27,RINEX 3.04,"G,C,E,R,J,S",data/datasets/twtf_2026_117_mixed/rinex/TWTF00TWN_R_20261170000_01D_30S_MO.rnx,data/datasets/twtf_2026_117_mixed/rinex/BRDM00DLR_S_20261170000_01D_MN.rnx,results/datasets/twtf_2026_117_gps_from_mixed,mixed_parse_ok_gps_run_ok_bds_single_system_pending
urban_nav_hk_medium_urban_1,UrbanNav-HK,2021,137,2021-05-17,RINEX 3.03,"G,C,E,R,J,S",data/datasets/urban_nav_hk_medium_urban_1/rinex/UrbanNav-HK-Medium-Urban-1.ublox.m8t.GC.obs,data/datasets/urban_nav_hk_medium_urban_1/rinex/BRDM00DLR_S_20211370000_01D_MN.rnx,results/datasets/urban_nav_hk_medium_urban_1_gps_bds,urban_dynamic_parse_ok_bds_gps_bds_200_epoch_run_ok
redundancy_stress_2026_117,CHAN/AUCK,2026,117,2026-04-27,"RINEX 2.11/3.05 compressed","G,G/C",data/datasets/redundancy_stress_2026_117/rinex/AUCK00NZL_R_20261170000_01D_30S_MO.rnx.gz,data/datasets/redundancy_stress_2026_117/rinex/BRDM00DLR_S_20261170000_01D_MN.rnx.gz,results/redundancy_tests,robustness_ok_gzip_rinex2_rinex3_hatanaka_warning
