split,samples,original_horiz_rms,compensated_horiz_rms,original_3d_rms,compensated_3d_rms,horiz_improvement_pct,3d_improvement_pct
train,12096,4.472375051123093,2.6133657085300754,5.735773894125185,3.4159843645056513,41.56649031762636,40.44422901669044
test,5184,4.463893623896621,2.5853226891782106,5.716160801831916,3.3732202437086642,42.083685073986345,40.98800994843227
