time,x,y,z,lat,lon,h,clock_bias_m,used_sats,pdop,gdop,east,north,up,horiz,three_d
2026-04-27T00:14:30,-2148744.4663,4426638.1512,4044653.5672,39.60860013,115.89250516,83.9156,-4.6181,9,1.959,2.235,1.0734,0.1051,-3.7257,1.0785,3.8787
2026-04-27T00:15:00,-2148744.4356,4426638.4400,4044653.8203,39.60860047,115.89250337,84.2669,-4.2010,9,1.963,2.238,0.9197,0.1430,-3.3745,0.9308,3.5005
2026-04-27T00:15:30,-2148744.2911,4426636.9630,4044651.8844,39.60859503,115.89250936,81.9604,-5.8990,9,1.966,2.242,1.4347,-0.4611,-5.6810,1.5069,5.8774
2026-04-27T00:16:00,-2148744.1730,4426637.0659,4044652.7252,39.60860063,115.89250760,82.5280,-5.5847,9,1.969,2.246,1.2835,0.1605,-5.1133,1.2935,5.2744
2026-04-27T00:16:30,-2148743.9578,4426637.1570,4044652.3785,39.60859829,115.89250488,82.2977,-5.7057,9,1.972,2.249,1.0502,-0.0989,-5.3437,1.0548,5.4468
2026-04-27T00:17:00,-2148744.4340,4426636.7627,4044651.9786,39.60859636,115.89251188,81.9297,-6.0032,9,1.975,2.253,1.6508,-0.3134,-5.7117,1.6803,5.9537
2026-04-27T00:17:30,-2148744.3442,4426637.5843,4044652.7394,39.60859762,115.89250676,82.9539,-5.1400,9,1.978,2.256,1.2111,-0.1735,-4.6874,1.2235,4.8445
2026-04-27T00:18:00,-2148744.3407,4426638.5050,4044653.6588,39.60859925,115.89250204,84.1770,-4.1321,9,1.980,2.259,0.8060,0.0077,-3.4644,0.8060,3.5569
2026-04-27T00:18:30,-2148743.9807,4426637.3913,4044652.4905,39.60859780,115.89250393,82.5392,-5.4958,9,1.983,2.261,0.9684,-0.1534,-5.1021,0.9805,5.1955
2026-04-27T00:19:00,-2148744.5654,4426638.4221,4044653.9296,39.60860100,115.89250482,84.3678,-4.1720,9,1.985,2.264,1.0443,0.2014,-3.2735,1.0635,3.4420
2026-04-27T00:19:30,-2148744.0853,4426636.4771,4044651.4052,39.60859473,115.89250968,81.2488,-6.3408,9,1.987,2.266,1.4618,-0.4943,-6.3925,1.5431,6.5761
2026-04-27T00:20:00,-2148744.4059,4426638.3675,4044654.0741,39.60860268,115.89250342,84.3684,-4.1659,9,1.989,2.269,0.9246,0.3884,-3.2729,1.0029,3.4231
2026-04-27T00:20:30,-2148744.2964,4426637.9615,4044652.9995,39.60859760,115.89250434,83.3651,-5.0210,9,1.991,2.270,1.0035,-0.1762,-4.2762,1.0188,4.3959
2026-04-27T00:21:00,-2148744.2744,4426636.6950,4044652.2120,39.60859873,115.89251055,81.9779,-6.2029,9,1.992,2.272,1.5367,-0.0504,-5.6635,1.5375,5.8685
2026-04-27T00:21:30,-2148744.3368,4426640.1260,4044655.0613,39.60860062,115.89249376,86.1933,-2.9947,8,3.079,3.684,0.0946,0.1595,-1.4480,0.1855,1.4598
2026-04-27T00:22:00,-2148744.5212,4426640.5639,4044655.7227,39.60860248,115.89249346,86.9806,-2.2849,8,3.093,3.701,0.0692,0.3667,-0.6607,0.3732,0.7588
2026-04-27T00:22:30,-2148744.0835,4426639.2905,4044654.2579,39.60860000,115.89249535,85.0169,-3.8382,8,3.106,3.717,0.2315,0.0903,-2.6245,0.2485,2.6362
2026-04-27T00:23:00,-2148744.0975,4426639.5009,4044654.7495,39.60860229,115.89249443,85.4808,-3.5506,8,3.118,3.733,0.1522,0.3446,-2.1605,0.3767,2.1931
2026-04-27T00:23:30,-2148744.5378,4426639.7025,4044654.4755,39.60859824,115.89249802,85.5939,-3.5526,8,3.130,3.748,0.4603,-0.1048,-2.0474,0.4721,2.1011
2026-04-27T00:24:00,-2148744.4140,4426640.2487,4044654.9602,39.60859909,115.89249394,86.2399,-2.8790,8,3.142,3.763,0.1104,-0.0102,-1.4014,0.1109,1.4058
2026-04-27T00:24:30,-2148744.2554,4426640.4228,4044655.7511,39.60860408,115.89249140,86.8115,-2.4538,8,3.153,3.777,-0.1083,0.5434,-0.8298,0.5541,0.9978
2026-04-27T00:25:00,-2148744.2559,4426639.5833,4044654.4169,39.60859915,115.89249567,85.3791,-3.4084,8,3.164,3.790,0.2588,-0.0031,-2.2622,0.2589,2.2770
2026-04-27T00:25:30,-2148744.8035,4426640.3422,4044655.7718,39.60860326,115.89249755,86.9531,-2.2846,8,3.175,3.803,0.4200,0.4531,-0.6882,0.6178,0.9248
2026-04-27T00:26:00,-2148744.4179,4426640.7136,4044655.9133,39.60860329,115.89249162,87.1710,-2.1727,8,3.184,3.816,-0.0891,0.4564,-0.4703,0.4651,0.6614
2026-04-27T00:26:30,-2148744.2767,4426638.1306,4044653.2906,39.60859879,115.89250327,83.6613,-4.8408,8,3.194,3.827,0.9118,-0.0434,-3.9801,0.9129,4.0834
2026-04-27T00:27:00,-2148744.0680,4426639.6213,4044654.7667,39.60860186,115.89249351,85.5653,-3.3314,8,3.202,3.838,0.0731,0.2969,-2.0761,0.3058,2.0985
2026-04-27T00:27:30,-2148744.3324,4426639.8521,4044654.4529,39.60859782,115.89249510,85.6142,-3.2659,8,3.210,3.849,0.2102,-0.1508,-2.0271,0.2587,2.0436
2026-04-27T00:28:00,-2148744.0444,4426639.0073,4044654.1602,39.60860088,115.89249638,84.7451,-3.9898,8,3.218,3.858,0.3200,0.1884,-2.8962,0.3714,2.9199
2026-04-27T00:28:30,-2148744.2780,4426639.5651,4044654.8640,39.60860229,115.89249599,85.6590,-3.3732,8,3.225,3.867,0.2866,0.3457,-1.9823,0.4490,2.0325
2026-04-27T00:29:00,-2148744.0233,4426639.8275,4044655.1832,39.60860379,115.89249199,85.9587,-2.9807,8,3.231,3.874,-0.0571,0.5120,-1.6827,0.5151,1.7598
2026-04-27T00:29:30,-2148744.0673,4426639.8856,4044654.6686,39.60859981,115.89249216,85.6857,-3.2502,8,3.236,3.881,-0.0429,0.0699,-1.9557,0.0820,1.9574
2026-04-27T00:30:00,-2148744.8381,4426640.7842,4044655.6955,39.60860036,115.89249566,87.2225,-2.3034,8,3.241,3.887,0.2581,0.1311,-0.4188,0.2895,0.5091
2026-04-27T00:30:30,-2148744.2765,4426639.8648,4044655.6221,39.60860601,115.89249445,86.3496,-3.0508,8,3.245,3.892,0.1544,0.7583,-1.2918,0.7738,1.5058
2026-04-27T00:31:00,-2148744.1697,4426640.1265,4044655.2909,39.60860263,115.89249200,86.2838,-2.9740,8,3.248,3.897,-0.0560,0.3827,-1.3575,0.3868,1.4115
2026-04-27T00:31:30,-2148744.2754,4426639.3204,4044655.0769,39.60860504,115.89249721,85.6243,-3.6862,8,3.251,3.900,0.3912,0.6507,-2.0171,0.7593,2.1552
2026-04-27T00:32:00,-2148744.0917,4426639.2137,4044654.5066,39.60860210,115.89249583,85.1250,-3.9578,8,3.253,3.902,0.2724,0.3237,-2.5163,0.4231,2.5517
2026-04-27T00:32:30,-2148743.9234,4426639.6130,4044654.9520,39.60860355,115.89249204,85.6290,-3.5962,8,3.254,3.904,-0.0534,0.4847,-2.0123,0.4876,2.0705
2026-04-27T00:33:00,-2148744.4905,4426640.5918,4044655.9531,39.60860402,115.89249300,87.1364,-2.5037,8,3.254,3.904,0.0294,0.5367,-0.5049,0.5375,0.7375
2026-04-27T00:33:30,-2148744.1292,4426639.9203,4044654.8207,39.60860053,115.89249263,85.8276,-3.4795,8,3.253,3.904,-0.0023,0.1500,-1.8137,0.1500,1.8199
2026-04-27T00:34:00,-2148744.3402,4426639.6362,4044655.1016,39.60860342,115.89249628,85.8807,-3.5132,8,3.252,3.902,0.3115,0.4706,-1.7606,0.5644,1.8488
2026-04-27T00:34:30,-2148744.4509,4426639.6222,4044654.9828,39.60860239,115.89249752,85.8325,-3.5410,8,3.250,3.900,0.4173,0.3563,-1.8088,0.5487,1.8902
2026-04-27T00:35:00,-2148744.2764,4426639.2821,4044654.7398,39.60860290,115.89249742,85.3832,-3.8968,8,3.247,3.897,0.4087,0.4127,-2.2581,0.5809,2.3316
2026-04-27T00:35:30,-2148744.0643,4426638.9416,4044654.1067,39.60860080,115.89249693,84.6721,-4.5593,8,3.244,3.893,0.3666,0.1793,-2.9692,0.4081,2.9971
2026-04-27T00:36:00,-2148744.2298,4426639.8933,4044655.4185,39.60860457,115.89249382,86.2238,-3.2598,8,3.240,3.888,0.0999,0.5981,-1.4175,0.6064,1.5418
2026-04-27T00:36:30,-2148744.2504,4426639.2294,4044653.8849,39.60859730,115.89249741,84.7928,-4.4687,8,3.235,3.882,0.4083,-0.2084,-2.8485,0.4585,2.8852
2026-04-27T00:37:00,-2148744.2452,4426640.3170,4044656.0555,39.60860676,115.89249183,86.9287,-2.6341,8,3.230,3.875,-0.0713,0.8415,-0.7126,0.8445,1.1050
2026-04-27T00:37:30,-2148744.2573,4426640.4216,4044656.0128,39.60860589,115.89249142,86.9781,-2.7839,8,3.223,3.868,-0.1060,0.7452,-0.6633,0.7527,1.0032
2026-04-27T00:38:00,-2148744.2121,4426639.5359,4044654.7985,39.60860216,115.89249545,85.5748,-3.6699,8,3.217,3.860,0.2401,0.3303,-2.0665,0.4084,2.1065
2026-04-27T00:38:30,-2148744.3051,4426639.7628,4044654.8490,39.60860110,115.89249527,85.7956,-3.6357,8,3.209,3.851,0.2246,0.2132,-1.8458,0.3097,1.8716
2026-04-27T00:39:00,-2148744.3201,4426639.9500,4044654.6715,39.60859887,115.89249448,85.8173,-3.6665,8,3.201,3.841,0.1564,-0.0351,-1.8241,0.1603,1.8311
2026-04-27T00:39:30,-2148744.3936,4426640.2601,4044655.7518,39.60860458,115.89249367,86.7456,-3.0013,8,3.193,3.830,0.0871,0.5989,-0.8957,0.6052,1.0810
2026-04-27T00:40:00,-2148744.3962,4426640.0508,4044655.0630,39.60860087,115.89249476,86.1622,-3.4625,8,3.184,3.819,0.1809,0.1875,-1.4791,0.2605,1.5019
2026-04-27T00:40:30,-2148744.1066,4426638.6621,4044653.1154,39.60859526,115.89249879,83.8607,-5.0563,8,3.174,3.807,0.5267,-0.4358,-3.7806,0.6837,3.8419
2026-04-27T00:41:00,-2148744.4642,4426639.3611,4044654.4210,39.60859981,115.89249898,85.2978,-4.0517,8,3.164,3.795,0.5432,0.0695,-2.3435,0.5477,2.4067
2026-04-27T00:41:30,-2148744.4814,4426639.9635,4044654.8236,39.60859945,115.89249610,85.9779,-3.4981,8,3.153,3.782,0.2956,0.0294,-1.6634,0.2971,1.6898
2026-04-27T00:42:00,-2148744.3043,4426638.5602,4044653.6623,39.60859908,115.89250138,84.2053,-4.7940,8,3.143,3.768,0.7491,-0.0111,-3.4361,0.7492,3.5168
2026-04-27T00:42:30,-2148743.9822,4426639.2728,4044654.3619,39.60860106,115.89249438,85.0368,-4.1853,8,3.131,3.754,0.1482,0.2088,-2.6046,0.2561,2.6171
2026-04-27T00:43:00,-2148743.8324,4426638.5248,4044653.9694,39.60860258,115.89249662,84.2178,-4.8736,8,3.119,3.740,0.3400,0.3772,-3.4236,0.5078,3.4610
2026-04-27T00:43:30,-2148744.2063,4426639.1005,4044654.4905,39.60860228,115.89249760,85.0748,-4.1636,8,3.107,3.725,0.4249,0.3443,-2.5665,0.5469,2.6242
2026-04-27T00:44:00,-2148744.1767,4426639.1284,4044653.9258,39.60859829,115.89249715,84.7242,-4.5057,8,3.095,3.710,0.3861,-0.0985,-2.9172,0.3985,2.9443
2026-04-27T00:44:30,-2148744.1245,4426639.1786,4044654.4839,39.60860204,115.89249635,85.0972,-4.2505,8,3.082,3.694,0.3173,0.3172,-2.5442,0.4487,2.5834
2026-04-27T00:45:00,-2148744.1633,4426638.7160,4044653.5924,39.60859815,115.89249911,84.2213,-4.8420,8,3.070,3.678,0.5542,-0.1151,-3.4201,0.5660,3.4666
2026-04-27T00:45:30,-2148744.2555,4426639.8890,4044654.8951,39.60860089,115.89249411,85.8958,-3.6259,8,3.057,3.662,0.1249,0.1901,-1.7456,0.2275,1.7603
2026-04-27T00:46:00,-2148744.3972,4426638.9915,4044654.3364,39.60860130,115.89250016,84.9652,-4.3007,8,3.043,3.645,0.6443,0.2350,-2.6761,0.6858,2.7626
2026-04-27T00:46:30,-2148744.2371,4426638.9496,4044654.3521,39.60860203,115.89249870,84.8923,-4.3521,8,3.030,3.628,0.5186,0.3157,-2.7490,0.6072,2.8153
2026-04-27T00:47:00,-2148744.3614,4426639.3948,4044654.7006,39.60860183,115.89249773,85.4649,-4.0506,8,3.016,3.611,0.4360,0.2942,-2.1764,0.5260,2.2391
2026-04-27T00:47:30,-2148743.9849,4426638.4369,4044654.2635,39.60860469,115.89249866,84.3956,-4.8636,8,3.003,3.594,0.5156,0.6117,-3.2457,0.8000,3.3429
2026-04-27T00:48:00,-2148744.4013,4426640.0696,4044655.5346,39.60860403,115.89249472,86.4777,-3.3451,8,2.989,3.577,0.1772,0.5386,-1.1636,0.5670,1.2944
2026-04-27T00:48:30,-2148744.0619,4426639.2220,4044654.3789,39.60860124,115.89249547,85.0392,-4.4728,8,2.975,3.560,0.2420,0.2289,-2.6021,0.3331,2.6233
2026-04-27T00:49:00,-2148744.3735,4426639.2975,4044654.8662,39.60860345,115.89249835,85.5071,-4.0397,8,2.961,3.542,0.4894,0.4743,-2.1342,0.6815,2.2404
2026-04-27T00:49:30,-2148744.3683,4426639.0054,4044654.4687,39.60860222,115.89249979,85.0495,-4.4867,8,2.947,3.525,0.6123,0.3370,-2.5919,0.6989,2.6845
2026-04-27T00:50:00,-2148743.9983,4426638.8462,4044654.3381,39.60860306,115.89249672,84.7314,-4.7342,8,2.933,3.507,0.3489,0.4307,-2.9099,0.5542,2.9622
2026-04-27T00:50:30,-2148744.2164,4426639.5539,4044654.9384,39.60860302,115.89249541,85.6780,-3.8820,8,2.920,3.490,0.2361,0.4266,-1.9633,0.4875,2.0230
2026-04-27T00:51:00,-2148744.0374,4426639.0140,4044654.0575,39.60860015,115.89249628,84.6820,-4.6533,8,2.906,3.473,0.3108,0.1074,-2.9594,0.3288,2.9776
2026-04-27T00:51:30,-2148744.3364,4426639.2352,4044654.4957,39.60860130,115.89249828,85.2152,-4.1879,8,2.892,3.455,0.4832,0.2348,-2.4261,0.5372,2.4849
2026-04-27T00:52:00,-2148744.3058,4426639.3598,4044654.6813,39.60860202,115.89249733,85.4096,-3.9622,8,2.879,3.438,0.4012,0.3149,-2.2317,0.5101,2.2893
2026-04-27T00:52:30,-2148744.2216,4426639.5982,4044654.6040,39.60860046,115.89249523,85.4972,-4.0181,8,2.865,3.421,0.2214,0.1421,-2.1441,0.2630,2.1602
2026-04-27T00:53:00,-2148744.3373,4426639.2684,4044654.6713,39.60860234,115.89249812,85.3504,-4.2445,8,2.852,3.404,0.4696,0.3508,-2.2909,0.5861,2.3647
2026-04-27T00:53:30,-2148744.0187,4426638.9759,4044654.7711,39.60860534,115.89249627,85.1042,-4.3779,8,2.838,3.387,0.3106,0.6842,-2.5371,0.7514,2.6460
2026-04-27T00:54:00,-2148744.4613,4426639.5251,4044654.8177,39.60860172,115.89249812,85.6635,-4.0085,8,2.825,3.370,0.4690,0.2819,-1.9779,0.5472,2.0521
2026-04-27T00:54:30,-2148744.0403,4426639.0405,4044654.5479,39.60860341,115.89249617,85.0139,-4.3125,8,2.812,3.354,0.3019,0.4692,-2.6274,0.5579,2.6860
2026-04-27T00:55:00,-2148744.3368,4426639.2366,4044654.6384,39.60860228,115.89249828,85.3074,-4.2359,8,2.799,3.337,0.4830,0.3439,-2.3340,0.5929,2.4081
